score,model,date_function,date_mid,mean,lower,upper,y_sd,mean_std,lower_std,upper_std,score_label,main_model,main_model_pretty
score_xgb_logit,date_rw2_creator_source,rw2,94,-0.8302538939544913,-1.2751471577847362,-0.4497418113004375,3.257814569466618,-0.25484995424108,-0.39141182857240037,-0.13805015654223407,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,95,-0.8129570395601952,-1.255897223334759,-0.43370123763745516,3.257814569466618,-0.24954061142077083,-0.3855029795450817,-0.1331264344208708,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,95.5,-0.7954423250156898,-1.236315761304186,-0.4174775113676842,3.257814569466618,-0.24416439550330904,-0.37949236672073705,-0.12814649283001864,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,96,-0.7777094120599185,-1.2164045013564724,-0.40106680956685964,3.257814569466618,-0.23872120265802854,-0.37338052102690017,-0.12310915830685963,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,98,-0.7597586546428494,-1.196167148084884,-0.38446535220525263,3.257814569466618,-0.2332111415313733,-0.3671685796041869,-0.11801327055523568,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,100,-0.7415906570289975,-1.1756082814849353,-0.3676691964298989,3.257814569466618,-0.22763439760489915,-0.3608579483016464,-0.11285761929970592,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,101.5,-0.7232063889088018,-1.15473355282832,-0.35067431412334304,3.257814569466618,-0.22199126852919931,-0.3544503618010946,-0.10764096809253229,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,103,-0.7046072587575088,-1.133550006279259,-0.33347669042345757,3.257814569466618,-0.21628218664172463,-0.3479479823386167,-0.10236208455475587,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,104,-0.6857955279997024,-1.1120669829014755,-0.3160725051984735,3.257814569466618,-0.2105078460963429,-0.34135367719334236,-0.09701979608072725,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,104.5,-0.666773882612446,-1.0902950257457136,-0.29845776837238797,3.257814569466618,-0.2046690713651062,-0.33467068259941535,-0.09161287789969354,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,105,-0.6475451412408249,-1.0682453570111794,-0.2806282167641854,3.257814569466618,-0.19876672764307868,-0.32790244325848067,-0.08614002141015993,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,108.5,-0.6281132528073585,-1.045931782210878,-0.2625800296341995,3.257814569466618,-0.19280202706877686,-0.3210531968313107,-0.08060005381988028,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,111,-0.6084826104103663,-1.0233691808463727,-0.2443094354716545,3.257814569466618,-0.18677631812236306,-0.3141275106440213,-0.07499181744762526,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,115,-0.5886579865633609,-1.0005731987447524,-0.2258127514881937,3.257814569466618,-0.18069106574710242,-0.30713018724959845,-0.06931418184588838,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,118,-0.5686447673557394,-0.9775607337973902,-0.2070865575377477,3.257814569466618,-0.17454792322598034,-0.30006641352747104,-0.06356609718632719,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,120,-0.5484487696938838,-0.9543494926671245,-0.1881276256652024,3.257814569466618,-0.16834867608308288,-0.2929416246128994,-0.05774657263442817,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,124,-0.5280754004762159,-0.930956119971284,-0.16893241955356933,3.257814569466618,-0.16209498398881383,-0.2857609296417702,-0.05185452270269256,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
