analysis,score,model,waic,dic,eff_parameters,n,y_mean,y_sd,rank,delta_waic,waic_weight,model_pretty,has_source,has_date,date_function,has_creator,score_label
full_corpus,score_ridge_logit,date_linear_source,3098.6247618453444,3097.428376420811,5.144971576055693,780,-2.165282284986997,2.0103391574157827,5,433.0804285021695,9.073598835329111e-95,Source + linear date,TRUE,TRUE,linear,FALSE,Elastic net
full_corpus,score_ridge_logit,source_only,3307.2302521230868,3306.0237081536134,4.1669863890299785,780,-2.165282284986997,2.0103391574157827,6,641.6859187799118,4.567440652621351e-140,Source only,TRUE,FALSE,none,FALSE,Elastic net
full_corpus,score_svm_logit,date_rw2_creator_source,3728.610290590669,3732.2616537649137,152.90708657330003,780,-2.5514844342569614,4.452305590492067,1,0,0.9999891243513624,Source + RW2 date + creator,TRUE,TRUE,rw2,TRUE,SVM
full_corpus,score_svm_logit,creator_source,3751.4682375151333,3767.0565950427026,170.70091591396834,780,-2.5514844342569614,4.452305590492067,2,22.85794692446416,1.0875648637508319e-5,Source + creator,TRUE,FALSE,none,TRUE,SVM
full_corpus,score_svm_logit,date_rw1_source,4086.4868095081283,4083.275059179182,38.2702829765227,780,-2.5514844342569614,4.452305590492067,3,357.8765189174592,1.941317602524423e-78,Source + RW1 date,TRUE,TRUE,rw1,FALSE,SVM
full_corpus,score_svm_logit,date_linear_source,4234.709224426884,4233.694603726458,4.967568716890423,780,-2.5514844342569614,4.452305590492067,4,506.0989338362151,1.2647600691445734e-110,Source + linear date,TRUE,TRUE,linear,FALSE,SVM
full_corpus,score_svm_logit,date_rw2_source,4235.498568361638,4234.749191219385,4.4238891913669445,780,-2.5514844342569614,4.452305590492067,5,506.88827777096867,8.523231569704546e-111,Source + RW2 date,TRUE,TRUE,rw2,FALSE,SVM
full_corpus,score_svm_logit,source_only,4548.9252746661105,4548.173559410999,3.721363656709885,780,-2.5514844342569614,4.452305590492067,6,820.3149840754413,7.42779268009878e-179,Source only,TRUE,FALSE,none,FALSE,SVM
full_corpus,score_xgb_logit,date_rw2_creator_source,3309.536168020977,3310.8990097062015,152.07436237591793,780,-2.601439577950741,3.257814569466618,1,0,0.9999974229181539,Source + RW2 date + creator,TRUE,TRUE,rw2,TRUE,XGBoost
full_corpus,score_xgb_logit,creator_source,3335.273868600012,3347.1227974740677,169.064405964437,780,-2.601439577950741,3.257814569466618,2,25.737700579034936,2.577081846024462e-6,Source + creator,TRUE,FALSE,none,TRUE,XGBoost
full_corpus,score_xgb_logit,date_rw1_source,3660.2774473737136,3658.358139033037,33.80086209155274,780,-2.601439577950741,3.257814569466618,3,350.74127935273646,6.87856398526851e-77,Source + RW1 date,TRUE,TRUE,rw1,FALSE,XGBoost
full_corpus,score_xgb_logit,date_linear_source,3778.830361923422,3778.6124553606155,4.186593303181305,780,-2.601439577950741,3.257814569466618,4,469.29419390244493,1.2418223738815028e-102,Source + linear date,TRUE,TRUE,linear,FALSE,XGBoost
full_corpus,score_xgb_logit,date_rw2_source,3781.808210975149,3781.637219011025,3.8863711853054244,780,-2.601439577950741,3.257814569466618,5,472.27204295417187,2.8017396398918144e-103,Source + RW2 date,TRUE,TRUE,rw2,FALSE,XGBoost
full_corpus,score_xgb_logit,source_only,4060.623252434272,4060.3516086157283,3.249104135111829,780,-2.601439577950741,3.257814569466618,6,751.0870844132951,8.007755161368075e-164,Source only,TRUE,FALSE,none,FALSE,XGBoost
full_corpus,score_lgb_logit,date_rw2_creator_source,3148.942689329403,3146.5576025105456,158.3520659594248,780,-2.5472813764390936,2.942219811873306,1,0,0.9999814011306973,Source + RW2 date + creator,TRUE,TRUE,rw2,TRUE,LightGBM
full_corpus,score_lgb_logit,creator_source,3170.7274716698525,3178.8136305569897,176.0466122846788,780,-2.5472813764390936,2.942219811873306,2,21.78478234044951,1.859886930276169e-5,Source + creator,TRUE,FALSE,none,TRUE,LightGBM
full_corpus,score_lgb_logit,date_rw1_source,3498.282757721003,3496.1245087425204,36.63960815379961,780,-2.5472813764390936,2.942219811873306,3,349.34006839159974,1.3859894275458722e-76,Source + RW1 date,TRUE,TRUE,rw1,FALSE,LightGBM
full_corpus,score_lgb_logit,date_rw2_source,3544.706607532302,3542.8567143389473,15.617944487658812,780,-2.5472813764390936,2.942219811873306,4,395.7639182028988,1.1506653001854332e-86,Source + RW2 date,TRUE,TRUE,rw2,FALSE,LightGBM
full_corpus,score_lgb_logit,date_linear_source,3615.36129420222,3615.2539257952194,4.077880894257788,780,-2.5472813764390936,2.942219811873306,5,466.418604872817,5.229723716152096e-102,Source + linear date,TRUE,TRUE,linear,FALSE,LightGBM
