"id","title","creator","date_range_start","date_range_end","start_era","end_era","stratum_start","stratum_end","type"
"MQDQ-527","carminum libri  4","Venantius Fortunatus",576,576,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-284","oratio","Paulinus Pellaeus",399,407,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-117","*hymnus de Christo","Pseudo-Hilary",670,690,"Late","Late","Late_poetry","Late_poetry","poetry"
"IT-LAT0867","Codex","Iustinianus, Caesar Flavius (Imperator Iustinianus)",529,534,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0061","De dialectica","Augustinus Hipponensis",387,387,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0252","Orationes","Cassiodorus, Flavius Magnus Aurelius",500,550,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0990_2","De correctione rusticorum","Martinus Bracarensis",572,573,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0746","De anima liber","Tertullianus, Quintus Septimius Florens",210,213,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0843","Contra Ioannem Hierosolymitanum Episcopum ad Pammachium","Hieronymus",396,397,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0783","Historiae","Gregorius Turonensis",573,594,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0913","Fragmentum de metriis","Censorinus",200,300,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0990_8","Formula vitae honestae, De quattuor virtutibus","Martinus Bracarensis",570,579,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0917","Porphyrii Isagoge translatio","Boethius, Anicius Manlius Severinus",494,524,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0733","Liber de corona militis","Tertullianus, Quintus Septimius Florens",208,208,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0990_1","Concilium Bracarense secundum duodecim episcoporum, habitum anno secundo regis Mironis, die Kalendarum Iuniarum, aera DCX.","Martinus Bracarensis",572,572,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0115","Breviarium ab Urbe condita","Eutropius",369,370,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0621","Sententiarum receptarum libri quinque","Paulus, Julius",250,300,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0435","Sententiae patrum Aegyptiorum","Martinus Bracarensis",556,579,"Late","Late","Late_prose","Late_prose","prose"
