word1,word2,ppmi,cooc_n
copia,existimo,0.8757398050495033,53
consul,eques,0.8755691944336972,55
facile,iniuria,0.8753108966148777,70
efficio,graeci,0.8753108966148775,49
constituo,periculum,0.8745650774701257,66
iudico,uoluptas,0.8739302058951589,61
eques,socius,0.8738997449641558,57
nauis,orator,0.8736288104318927,27
eques,extremus,0.8731091685928349,58
existimo,littera,0.8730407480803385,50
facile,graeci,0.8727101149148201,48
imperator,miles,0.8725598632429875,55
graeci,periculum,0.8722667542336493,41
iuuenis,mars,0.8720833521240111,58
inimicus,memoria,0.8718204916751092,65
defendo,reliquus,0.8709151045602965,69
auctoritas,defendo,0.8707050425912433,56
orator,sententia,0.8705376178622198,38
alienus,oratio,0.8702561259532534,74
imperator,iudicium,0.8697149111107566,54
acies,pugno,0.86963110515429,67
exercitus,publicus,0.8695127525910888,64
alienus,auctoritas,0.8690803468642414,60
contineo,graeci,0.8690803468642414,50
diuinus,orator,0.8677636909794948,36
agmen,mars,0.8666678004588576,42
exercitus,facile,0.8666678004588575,60
exercitus,graeci,0.8666678004588575,36
aequor,mars,0.8663876491753331,43
fatum,numen,0.8663747375639207,71
litus,numen,0.8663747375639207,71
appello,senatus,0.8661203052357648,56
memoria,publicus,0.8658857561552944,63
agmen,uictor,0.8653118680477215,67
semen,surgo,0.8651753371202864,66
episcopus,singulus,0.8651355685732253,15
graeci,princeps,0.8651355685732252,55
animal,iudico,0.8648609313215332,43
alienus,memoria,0.8648029190164623,71
oratio,reperio,0.8647398630146467,63
aequor,claudo,0.8647398630146467,63
animal,spatium,0.8638492974466887,52
imperator,respondeo,0.8637232814424898,52
mars,proelium,0.8636602793949022,56
defendo,existimo,0.8632367479837176,58
orator,paulus,0.8629904122268371,33
caro,spiritus,0.8628660418516999,67
oratio,respondeo,0.8628178943276772,69
consul,exercitus,0.8618945217061998,57
agmen,campus,0.8614864417168601,70
christus,spiritus,0.8612062904333356,56
existimo,nauis,0.8612062904333356,40
episcopus,scribo,0.8612062904333356,18
ciuitas,inimicus,0.8609221591627781,69
litus,saxum,0.8596743409299388,81
periculum,prouincia,0.8595027125085518,46
alienus,existimo,0.8593105552684365,62
accedo,existimo,0.8593105552684365,62
agmen,socius,0.8589931657057487,59
defendo,iniuria,0.8589170868392012,77
christus,saeculum,0.8578821876494971,53
copia,exercitus,0.8576179649389396,60
diuinus,graeci,0.8576113195154766,49
animal,auctoritas,0.8574184071163983,31
episcopus,iudicium,0.8572923911121993,15
intellego,sententia,0.8569113661504549,82
inimicus,intellego,0.8569113661504549,82
episcopus,periculum,0.855872944457973,11
oratio,paulus,0.8554756157243505,58
paulus,reliquus,0.8554756157243505,58
orator,socius,0.8554558433048978,34
consilium,periculum,0.8551787410284971,80
oratio,potestas,0.854785722630413,69
