word1,word2,word3,interaction_info,abs_interaction_info
deus,unus,dies,0.1853905581124514,0.1853905581124514
uolo,dies,terra,0.18536498288084416,0.18536498288084416
homo,locus,primus,0.1851837506688353,0.1851837506688353
unus,uerbum,ago,0.18502269336857408,0.18502269336857408
uenio,uir,totus,0.1850007344747043,0.1850007344747043
pars,ago,totus,0.18495432224387437,0.18495432224387437
tempus,totus,terra,0.1849497687820778,0.1849497687820778
unus,primus,bonus,0.1849464476584804,0.1849464476584804
magnus,primus,totus,0.1849221695662786,0.1849221695662786
uolo,pars,tempus,0.1848733455335161,0.1848733455335161
ago,totus,bonus,0.18477829378640725,0.18477829378640725
uir,primus,totus,0.18474459714230385,0.18474459714230385
uolo,pars,primus,0.1847361884585132,0.1847361884585132
uolo,locus,magnus,0.18471450511922172,0.18471450511922172
tempus,uir,ago,0.18466768734105804,0.18466768734105804
uolo,ago,terra,0.18466431921955812,0.18466431921955812
deus,dies,tempus,0.18463102924203895,0.18463102924203895
uir,primus,ago,0.18460836354701193,0.18460836354701193
nomen,ago,uis,0.18460808260705291,0.18460808260705291
uolo,tempus,totus,0.18456959939878342,0.18456959939878342
unus,corpus,primus,0.1844983909175221,0.1844983909175221
deus,uolo,dies,0.1844709940431831,0.1844709940431831
uolo,locus,totus,0.1844680301605465,0.1844680301605465
uenio,primus,uis,0.18442827217411817,0.18442827217411817
unus,nomen,uenio,0.1843851481383142,0.1843851481383142
unus,pars,ago,0.1843610363839132,0.1843610363839132
magnus,dies,uis,0.18433257998972158,0.18433257998972158
unus,ago,terra,0.18423340534965627,0.18423340534965627
ago,terra,uis,0.18396257572432081,0.18396257572432081
primus,terra,manus,0.1839616164376594,0.1839616164376594
locus,tempus,totus,0.18393104430049562,0.18393104430049562
totus,terra,manus,0.18390712910819473,0.18390712910819473
unus,uolo,manus,0.18390608500818145,0.18390608500818145
unus,uenio,ago,0.18387957683620293,0.18387957683620293
unus,tempus,totus,0.1838033414015089,0.1838033414015089
unus,uerbum,bonus,0.1837477256357593,0.1837477256357593
homo,unus,ago,0.1836725571658786,0.1836725571658786
deus,uenio,ago,0.18346518210961366,0.18346518210961366
uolo,dies,uerbum,0.18345084044198864,0.18345084044198864
pars,nomen,totus,0.18331140596727363,0.18331140596727363
uolo,uenio,uis,0.18327488273836912,0.18327488273836912
unus,pars,nomen,0.18326394833305926,0.18326394833305926
unus,dies,terra,0.18325772961982234,0.18325772961982234
uolo,locus,credo,0.18324620552215642,0.18324620552215642
nomen,primus,credo,0.1832256995499162,0.1832256995499162
homo,primus,ago,0.18312550017008664,0.18312550017008664
dies,tempus,uita,0.18311470111683287,0.18311470111683287
magnus,primus,manus,0.18309471806799046,0.18309471806799046
locus,ago,populus,0.18308969889763566,0.18308969889763566
locus,dies,populus,0.18302775002376617,0.18302775002376617
locus,nomen,uerbum,0.18301568476145835,0.18301568476145835
deus,dies,totus,0.18299013405361678,0.18299013405361678
uenio,totus,manus,0.18294434539930796,0.18294434539930796
nomen,ago,manus,0.18293993456503244,0.18293993456503244
uir,ago,manus,0.18293945106129927,0.18293945106129927
homo,dies,bonus,0.182903505907841,0.182903505907841
pars,tempus,totus,0.18287881199409498,0.18287881199409498
locus,uenio,uis,0.18287017626807267,0.18287017626807267
tempus,nomen,terra,0.18285678793841145,0.18285678793841145
homo,uolo,dies,0.18283469232136942,0.18283469232136942
unus,locus,uerbum,0.18279170180896995,0.18279170180896995
magnus,dies,bonus,0.18277506241536168,0.18277506241536168
deus,ago,totus,0.18275804423829506,0.18275804423829506
magnus,dies,uenio,0.18275376079208072,0.18275376079208072
locus,tempus,uenio,0.18266254219956396,0.18266254219956396
homo,locus,credo,0.18265067520495828,0.18265067520495828
uolo,primus,credo,0.182583618526374,0.182583618526374
unus,locus,manus,0.18243763011835795,0.18243763011835795
uolo,dies,credo,0.18236157290123173,0.18236157290123173
magnus,uenio,primus,0.18227132606946267,0.18227132606946267
uenio,ago,bonus,0.1822665476757495,0.1822665476757495
uenio,uerbum,ago,0.1822548438029449,0.1822548438029449
unus,uenio,totus,0.1822406291809695,0.1822406291809695
tempus,nomen,uenio,0.1822346928907058,0.1822346928907058
uerbum,ago,totus,0.18206531312811924,0.18206531312811924
homo,dies,nomen,0.18202165686415728,0.18202165686415728
magnus,ago,totus,0.18199891037318766,0.18199891037318766
unus,locus,bonus,0.18192734438119335,0.18192734438119335
locus,uir,credo,0.18189133765897622,0.18189133765897622
tempus,uenio,uir,0.1818793278180486,0.1818793278180486
