word1,word2,ppmi,mi
gens,urbs,0.4802331499847371,0.16997601763537418
signum,urbs,0.4802331499847371,0.16997601763537418
malus,puto,0.480126636877184,0.18359619436144836
genus,signum,0.47999815997073136,0.185790259557149
gens,inuenio,0.47999815997073136,0.1250524261242143
homo,scio,0.47985689508470886,0.25531442565114304
duo,relinquo,0.4797912277402977,0.21948396722544405
credo,malus,0.479763225164059,0.22743568711323903
audio,mater,0.47976144556555445,0.16444468024961978
fides,ratio,0.4797101830068979,0.14914549838647062
natura,scio,0.4796903255831995,0.12818081051324093
quaero,scio,0.4796903255831994,0.20250323063062226
loquor,regnum,0.4795376651077381,0.1548923814823322
fides,rex,0.47946124720615513,0.16904583892139957
mors,peto,0.47939737893734086,0.23505034129656543
accipio,debeo,0.4793967704262795,0.19021056335652986
debeo,uerbum,0.4792853684320683,0.20000811406592423
caelum,signum,0.47927726603106485,0.16077451204964532
debeo,pono,0.4790759662744609,0.22200584810380164
bellum,mater,0.4790220739976757,0.15441472336291895
hostis,mors,0.4789164940999903,0.16679016611563036
ratio,sequor,0.4787515633456939,0.18925806891528563
nox,peto,0.47874894057029915,0.21564154387812184
liber,romanus,0.47874581165426516,0.1313445648246656
mens,uox,0.4785591037431107,0.23126097359533215
ius,uerbum,0.4785311158010863,0.21331127394188343
ius,populus,0.4783968786037573,0.23972174593898732
mors,scio,0.4783847206229547,0.1887601701631887
inuenio,solus,0.47801599876673995,0.20815684668904755
genus,natura,0.4778027694072957,0.16569088192470183
nascor,signum,0.4777998737480335,0.19880585434685916
lex,scio,0.4777230531969618,0.20808066728102848
medius,scio,0.4776835017108098,0.16055432152730642
regnum,scio,0.47763294687143704,0.12524766461162962
filius,modus,0.4774147175571626,0.11302769128345069
fides,hostis,0.4767319621841101,0.16267283820310396
ius,mors,0.4763157123999328,0.19543026952962972
homo,ratio,0.47611951487616944,0.20067475804357748
loquor,quaero,0.47610655583766526,0.23908466705725484
genus,scio,0.47609190500366627,0.20349178263755086
domus,nox,0.47596431844321446,0.2070257772305384
accipio,modus,0.47596431844321446,0.2070257772305384
bonus,scribo,0.47584236164625854,0.1772849022705243
audio,bonus,0.4757540419288241,0.211949378731914
domus,hostis,0.4757109079591114,0.16800841725751514
ius,peto,0.4755438096213509,0.20446008110050418
populus,rex,0.4755438096213509,0.20392171836356443
mater,scio,0.4755438096213509,0.16443780842683964
bellum,liber,0.47531674699974824,0.17772156660460947
loquor,opus,0.4751323716398217,0.25291480921574916
locus,scio,0.47503760864875993,0.2515981825759246
domus,relinquo,0.4750343852598502,0.23471701686305213
medius,nox,0.47502107045628483,0.1719978351822986
malus,uirtus,0.47502107045628483,0.1719978351822986
domus,uox,0.47492996297604,0.21827641567894496
gens,medius,0.4749297254002727,0.14048943434424022
bonus,inuenio,0.4749090904632601,0.19069083195422376
arma,mors,0.4748549857608102,0.15748192797628846
bellum,fides,0.4746818263434983,0.16836908430934017
arma,ius,0.4746334772872057,0.13882809648047356
summus,uerus,0.4745780925013922,0.24937692630348618
duo,quaero,0.4745141706394542,0.2155705986878651
modus,rex,0.4742945902209188,0.1523979273926459
regnum,uerus,0.47429011553755895,0.14652116629701517
loquor,scribo,0.4742847600373403,0.15382991863761664
loquor,teneo,0.474206016779691,0.26812876993067025
mitto,regnum,0.4742043191323756,0.15224010894841822
bonus,uerbum,0.4741608674579078,0.2703969574647065
mens,uerus,0.47412032183649727,0.2307718420389966
mens,mors,0.47412032183649727,0.2307718420389966
audio,pars,0.47406342445091687,0.2601341456406203
audio,locus,0.4740634244509167,0.24471323408341839
debeo,genus,0.4740634244509167,0.19659481107077248
audio,hostis,0.4740634244509166,0.13324755239419162
ius,mitto,0.4740228967806443,0.20016657258303105
arma,nox,0.4738964217904147,0.14346954061538675
domus,filius,0.47375968782784966,0.12451460516662394
fides,uerus,0.473632465953385,0.21400165990930375
pars,ratio,0.47360515794009517,0.21382478915939984
filius,malus,0.4736039448035243,0.10254096854633055
filius,rex,0.4734840766583403,0.09045965149586443
modus,quaero,0.4734718834694556,0.2117990146666413
genus,ius,0.47330917181993465,0.20960975649952296
arma,puto,0.4731832821631153,0.14832979314031025
nox,urbs,0.47311145816369776,0.19873103738363174
fides,natura,0.4731094989755459,0.14535840048971593
lex,loquor,0.47301922130012586,0.243634961710403
domus,lex,0.47301922130012586,0.243634961710403
hostis,medius,0.47299696451174766,0.13735780832366995
liber,rex,0.4728806922018671,0.1713070887689474
arma,scio,0.47285834308633257,0.13089646322696602
sanctus,uerus,0.47283744802360805,0.1436552130141564
inuenio,uenio,0.4726988574891197,0.26962446810413176
opus,rex,0.4726907406389445,0.18741391007762864
gens,mors,0.4726859443493542,0.16285857977861617
gens,nox,0.47264338300781417,0.14924194267149637
bellum,uox,0.47264075938190553,0.16436689891104006
domus,ius,0.4724833634682447,0.19595669012103833
accipio,ius,0.4724833634682447,0.19595669012103833
natura,summus,0.47245095433534845,0.16953569431540405
debeo,opus,0.4723525600472873,0.20237148698593987
natura,pono,0.47229866620591365,0.1765266056345398
debeo,uox,0.4722402698894015,0.17374895140284075
scio,sequor,0.4721508793143418,0.22701369296018203
scio,solus,0.4721508793143418,0.22701369296018203
quaero,uox,0.47208658923749325,0.22273287153574817
inuenio,mater,0.471965988273467,0.14164757217538426
hostis,ius,0.471965988273467,0.14164757217538426
lex,medius,0.4718921328861687,0.20346849981630388
signum,terra,0.47185190082195627,0.22470345973714334
sequor,signum,0.4717854490161039,0.20280980335044152
quaero,relinquo,0.4717773268258738,0.2387698463686041
regnum,uirtus,0.471704317830291,0.13216028932407742
inuenio,tempus,0.47162991030021456,0.24861423763408652
inuenio,iubeo,0.47162991030021456,0.17506378861777527
quaero,regnum,0.47152738930895194,0.15389562327173145
mens,regnum,0.47152738930895194,0.15389562327173145
lex,regnum,0.4714865904676332,0.16009015360722412
ratio,summus,0.4714470389814812,0.1666593127213325
pono,ratio,0.4714086785081081,0.17365102659420195
scribo,signum,0.47114980767801645,0.1095482945474231
ius,os,0.47113851615343444,0.21506668675677254
peto,scio,0.4710782705233759,0.19030189328517633
inuenio,sequor,0.47104732945064665,0.19970258107664218
inuenio,nox,0.47096875325133697,0.14613097682303167
domus,uerbum,0.4708571999515214,0.23471116289858163
domus,rex,0.47077905968971173,0.16712041278540735
ius,locus,0.47072452318540214,0.25597101758486396
fides,liber,0.47070441277927155,0.21816964598039945
audio,nascor,0.4706907399722774,0.20850405874987565
loquor,urbs,0.4706176912852951,0.21800996799502315
domus,urbs,0.4706176912852951,0.21800996799502315
liber,malus,0.47055240244227603,0.1895288280955425
fides,gens,0.4705014124334741,0.15883652699193185
filius,uerbum,0.470294453735207,0.12878637737828136
nox,uox,0.4701878082682655,0.19073535342359893
opus,puto,0.47000362924573563,0.228826458287954
malus,summus,0.46998138172726,0.20916911834789698
ago,scio,0.46994972960685016,0.2809070126224249
animus,inuenio,0.46984578850671316,0.18764018650498837
credo,natura,0.46984578850671316,0.17160264550496063
rex,uox,0.4697590469531176,0.15801006190584044
accipio,quaero,0.4697573281590065,0.230374112617187
mitto,relinquo,0.46970103928448736,0.23025980043888516
quaero,rex,0.4696786901689527,0.17254359412657294
lex,quaero,0.4695262859927834,0.24734964683092198
domus,signum,0.4694803582084754,0.16399681690463463
domus,fides,0.4694803582084753,0.21401118474580993
mitto,scio,0.4693657500944227,0.18608485863308832
bellum,uerus,0.4692617588741593,0.1653012715576967
dies,nox,0.46912134832909647,0.2911469719148654
scio,summus,0.46907826985670903,0.20573005475112005
credo,ius,0.469029128600157,0.22086345806018937
bonus,debeo,0.46897435494344547,0.20368904495645968
scio,teneo,0.46894312558999873,0.21674853525344773
peto,regnum,0.4688992669026822,0.14962036365023312
accipio,medius,0.46886817575899226,0.18537649859113614
