time,step,detail
2026-03-29 01:53:57,lgb_inner_fold,outer 1 candidate 7 of 8 fold 4 of 5
2026-03-29 01:53:58,lgb_inner_fold,outer 1 candidate 7 of 8 fold 5 of 5
2026-03-29 01:53:58,lgb_inner_fold,outer 1 candidate 8 of 8 fold 1 of 5
2026-03-29 01:53:59,lgb_inner_fold,outer 1 candidate 8 of 8 fold 2 of 5
2026-03-29 01:53:59,lgb_inner_fold,outer 1 candidate 8 of 8 fold 3 of 5
2026-03-29 01:53:59,lgb_inner_fold,outer 1 candidate 8 of 8 fold 4 of 5
2026-03-29 01:54:00,lgb_inner_fold,outer 1 candidate 8 of 8 fold 5 of 5
2026-03-29 01:54:00,outer_fold_done,fold 1 of 5
2026-03-29 01:54:00,outer_fold_start,fold 2 of 5
2026-03-29 01:54:11,fit_nb,outer fold 2
2026-03-29 01:54:11,fit_ridge,outer fold 2
2026-03-29 01:54:15,tune_svm,outer fold 2
2026-03-29 01:54:15,svm_inner_fold,outer 2 cost 0.25 fold 1 of 5
2026-03-29 01:54:15,svm_inner_fold,outer 2 cost 0.25 fold 2 of 5
2026-03-29 01:54:16,svm_inner_fold,outer 2 cost 0.25 fold 3 of 5
2026-03-29 01:54:16,svm_inner_fold,outer 2 cost 0.25 fold 4 of 5
2026-03-29 01:54:16,svm_inner_fold,outer 2 cost 0.25 fold 5 of 5
2026-03-29 01:54:16,svm_inner_fold,outer 2 cost 1 fold 1 of 5
2026-03-29 01:54:16,svm_inner_fold,outer 2 cost 1 fold 2 of 5
2026-03-29 01:54:16,svm_inner_fold,outer 2 cost 1 fold 3 of 5
2026-03-29 01:54:16,svm_inner_fold,outer 2 cost 1 fold 4 of 5
2026-03-29 01:54:16,svm_inner_fold,outer 2 cost 1 fold 5 of 5
2026-03-29 01:54:16,svm_inner_fold,outer 2 cost 4 fold 1 of 5
2026-03-29 01:54:16,svm_inner_fold,outer 2 cost 4 fold 2 of 5
2026-03-29 01:54:17,svm_inner_fold,outer 2 cost 4 fold 3 of 5
2026-03-29 01:54:17,svm_inner_fold,outer 2 cost 4 fold 4 of 5
2026-03-29 01:54:17,svm_inner_fold,outer 2 cost 4 fold 5 of 5
2026-03-29 01:54:17,svm_inner_fold,outer 2 cost 16 fold 1 of 5
2026-03-29 01:54:17,svm_inner_fold,outer 2 cost 16 fold 2 of 5
