analysis,score,model,waic,dic,eff_parameters,n,y_mean,y_sd,rank,delta_waic,waic_weight,model_pretty,has_score,has_date,has_source,has_creator,score_label
negative_control_text_length,score_ridge_logit,date_rw2_source_creator,1854.960709387429,1819.7965254977717,184.23371087144446,780,1.5799327658127228e-16,1.0000000000000002,4,193.59973293279495,6.73317693132894e-43,Date RW2 + source + creator,FALSE,TRUE,TRUE,TRUE,Elastic net
negative_control_text_length,score_ridge_logit,date_rw2_source_score,2064.505547571725,2064.926969780332,10.263824363852827,780,1.5799327658127228e-16,1.0000000000000002,5,403.1445711170909,2.1190273368586824e-88,Date RW2 + source + score,TRUE,TRUE,TRUE,FALSE,Elastic net
negative_control_text_length,score_ridge_logit,date_rw2_score,2066.0427988580514,2066.497760376292,9.471640265397657,780,1.5799327658127228e-16,1.0000000000000002,6,404.6818224034173,9.824867089364248e-89,Date RW2 + score,TRUE,TRUE,FALSE,FALSE,Elastic net
negative_control_text_length,score_ridge_logit,date_linear_score,2092.2369896575274,2092.831716063787,3.3779447931940685,780,1.5799327658127228e-16,1.0000000000000002,7,430.8760132028933,2.0152569282688895e-94,Date linear + score,TRUE,TRUE,FALSE,FALSE,Elastic net
negative_control_text_length,score_ridge_logit,score_only,2100.3537247532404,2101.033032503321,2.3032897023941743,780,1.5799327658127228e-16,1.0000000000000002,8,438.99274829860633,3.481799762489269e-96,Score only,TRUE,FALSE,FALSE,FALSE,Elastic net
negative_control_text_length,score_ridge_logit,date_rw2_source,2200.968346962128,2200.8441974192424,7.7645506556135935,780,1.5799327658127228e-16,1.0000000000000002,9,539.6073705074941,4.938740181326302e-118,Date RW2 + source,FALSE,TRUE,TRUE,FALSE,Elastic net
negative_control_text_length,score_ridge_logit,date_rw2,2203.647783808901,2203.8992420841732,6.797851209519493,780,1.5799327658127228e-16,1.0000000000000002,10,542.2868073542668,1.2935519074145317e-118,Date RW2,FALSE,TRUE,FALSE,FALSE,Elastic net
negative_control_text_length,score_ridge_logit,date_linear,2211.791103653615,2212.2208567084376,2.554167819183331,780,1.5799327658127228e-16,1.0000000000000002,11,550.4301271989812,2.2053850398406858e-120,Date linear,FALSE,TRUE,FALSE,FALSE,Elastic net
negative_control_text_length,score_ridge_logit,source_only,2213.1788823548254,2213.5272413652815,2.6359654282560894,780,1.5799327658127228e-16,1.0000000000000002,12,551.8179059001914,1.1018744381784696e-120,Source only,FALSE,FALSE,TRUE,FALSE,Elastic net
negative_control_text_length,score_ridge_logit,intercept_only,2216.1746821710713,2216.5313278332314,1.6323651007105768,780,1.5799327658127228e-16,1.0000000000000002,13,554.8137057164372,2.463782939765519e-121,Intercept only,FALSE,FALSE,FALSE,FALSE,Elastic net
negative_control_text_length,score_svm_logit,date_rw2_source_score_creator,1707.6003770825355,1675.6791421549503,190.6901017922275,780,1.5799327658127228e-16,1.0000000000000002,1,0,0.5342061270938032,Date RW2 + source + creator + score,TRUE,TRUE,TRUE,TRUE,SVM
