score,model,creator_idx,mean,lower,upper,y_sd,creator,mean_std,lower_std,upper_std,model_pretty,date_function,has_label,has_creator,score_label
score_bert_logit,label_date_linear_creator,59,-0.12324078410665167,-1.101422701245605,0.4166616071837353,4.390385762811726,"Frontinus, Sextus Iulius",-0.028070604900040676,-0.2508715089628532,0.09490318839702448,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,60,8.469705054828844e-4,-0.5846652978892193,0.5884726027005435,4.390385762811726,Furius Bibaculus,1.9291482599480297e-4,-0.13316945924013365,0.13403665064813555,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,61,-0.008944808336459725,-0.6556540700183693,0.6102181540349356,4.390385762811726,Gaetulicus,-0.002037362732957484,-0.14933860153520315,0.13898964396334385,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,62,-0.03324843710039142,-0.7534622680321472,0.5737636202606543,4.390385762811726,Gannius,-0.007573010413348779,-0.17161641567223215,0.13068637957070997,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,63,-0.05671610151694957,-0.8057172633002954,0.4923257808816404,4.390385762811726,"Gargilius Martialis, Quintus",-0.012918250144977463,-0.18351855778256065,0.11213724886132584,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,64,0.013654356665571589,-0.6036879770555104,0.6733290956440696,4.390385762811726,"Gellius, Aulus",0.0031100585240662216,-0.13750226282368674,0.1533644495086124,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,65,-0.0361152368094306,-0.7502304528063651,0.5552489800267555,4.390385762811726,Germanicus Caesar,-0.008225982581152822,-0.17088030376763444,0.12646929222710454,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,66,-0.014497636464737585,-0.6764401964715263,0.6028646203756777,4.390385762811726,Gregorius Turonensis,-0.0033021327163408284,-0.1540730662442553,0.13731472652862883,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,67,-0.002739741530236932,-0.6166363494635586,0.6032077530094024,4.390385762811726,Hadrianus imperator,-6.240320733188431e-4,-0.14045151901837605,0.13739288199201233,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,68,0.02143553415872737,-0.5788665679951803,0.6882891364580647,4.390385762811726,Hieronymus,0.004882380573546561,-0.13184868010879708,0.1567719042568289,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,69,-0.012173092693348955,-0.6677771631384379,0.6055488635799859,4.390385762811726,"Hirtius, Aulus",-0.002772670410071885,-0.15209988352157344,0.13792611772505736,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,70,0.0014688884333622651,-0.5892786904987295,0.5956326194492667,4.390385762811726,Honoratus Massiliensis,3.3456933233619725e-4,-0.1342202536028039,0.13566749065526462,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,71,0.03847380583061649,-0.5325861368688273,0.7273806589326519,4.390385762811726,Horatius,0.008763194832787721,-0.1213073669699002,0.16567579666776638,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,72,0.07777515738471948,-0.4404239318212434,0.9021252598682157,4.390385762811726,Hosidius Gaetae,0.017714880100857033,-0.10031554301032163,0.20547744745110266,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,73,0.03763201743844536,-0.5582170703140258,0.7667077928340863,4.390385762811726,Hostius,0.008571460338907613,-0.12714533539224307,0.17463335439186217,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
