model,term,mu_all,mu_ch,mu_nc,mean_abs_contrib,n_present,n_present_ch,n_present_nc,present_rate,direction,z_mu_all,z_abs,rank_abs,rank_pos,rank_neg,side
naive_bayes,respublica,-23.73001174378117,-2.448334544993295,-30.11451490341753,23.73001174378117,13,3,10,0.03591160220994475,non_christian,-3.8593799501734045,3.773086851658218,93,18502,35,non_christian
naive_bayes,senatus,-23.448558594773772,-7.416273615069826,-26.52324338540193,23.448558594773772,87,14,73,0.24033149171270718,non_christian,-3.813211079483801,3.7241355774283207,96,18500,37,non_christian
naive_bayes,fortuna,-22.594282330898793,-12.641839235377937,-23.316637071702736,22.594282330898793,133,9,124,0.3674033149171271,non_christian,-3.673077737578982,3.575556988741302,106,18497,40,non_christian
naive_bayes,bellum,-21.826444496047397,-10.697337500125705,-25.18284184402378,21.826444496047397,164,38,126,0.4530386740331492,non_christian,-3.547123539401198,3.4420120611025165,113,18493,44,non_christian
naive_bayes,istic,-21.80630703885346,-4.355447684498832,-27.3588531970572,21.80630703885346,58,14,44,0.16022099447513813,non_christian,-3.543820241283969,3.4385096871092973,115,18492,45,non_christian
naive_bayes,antonius,-20.475325234543888,-5.850092924155398,-22.30347927334245,20.475325234543888,36,4,32,0.09944751381215469,non_christian,-3.3254893146977875,3.2070208743973487,122,18488,49,non_christian
naive_bayes,poenus,-20.415641342485657,-3.7999916367400313,-22.631061303251737,20.415641342485657,17,2,15,0.04696132596685083,non_christian,-3.3156989183053267,3.1966404520160263,123,18487,50,non_christian
naive_bayes,consulatus,-20.187002022248738,-4.867787721677001,-22.229563928991638,20.187002022248738,34,4,30,0.09392265193370165,non_christian,-3.278193496007494,3.1568747357533864,124,18486,51,non_christian
naive_bayes,consul,-20.144690079708614,-5.26114928457219,-23.432914208866652,20.144690079708614,105,19,86,0.2900552486187845,non_christian,-3.271252750769254,3.1495157010089327,125,18485,52,non_christian
naive_bayes,ductor,-19.928070210259005,-4.921702570088179,-25.330362560720506,19.928070210259005,34,9,25,0.09392265193370165,non_christian,-3.2357189691196657,3.111840447878993,128,18483,54,non_christian
naive_bayes,epicurus,-19.054794925669306,-7.149537794555987,-21.802161955926223,19.054794925669306,16,3,13,0.04419889502762431,non_christian,-3.0924690753706043,2.9599574858837148,138,18478,59,non_christian
naive_bayes,uergilius,-18.43743410332514,-4.3628968071577114,-21.685404248594544,18.43743410332514,32,6,26,0.08839779005524862,non_christian,-2.9911987500032873,2.8525840241905573,150,18473,64,non_christian
naive_bayes,cato,-17.87583099681055,-7.664513604924619,-18.939509891798668,17.87583099681055,53,5,48,0.1464088397790055,non_christian,-2.8990747808986805,2.754908131160718,158,18470,67,non_christian
naive_bayes,pluralis,-17.774100203826627,-1.6534046701234073,-33.89479573752985,17.774100203826627,4,2,2,0.011049723756906077,non_christian,-2.8823871160315804,2.7372147709601187,160,18468,69,non_christian
naive_bayes,praetor,-17.308153910065066,-4.038569245681849,-18.17356160556832,17.308153910065066,49,3,46,0.13535911602209943,non_christian,-2.8059544512671435,2.656175831148054,168,18464,73,non_christian
naive_bayes,alexander,-17.26781436496271,-9.110779962909106,-18.392922558349415,17.26781436496271,33,4,29,0.09116022099447514,non_christian,-2.799337253171914,2.649159842371312,169,18463,74,non_christian
naive_bayes,legio,-17.03879408542477,-3.419482757969419,-21.339629241463296,17.03879408542477,50,12,38,0.13812154696132597,non_christian,-2.7617693392630662,2.6093278683912486,172,18461,76,non_christian
naive_bayes,mars,-16.81422241806967,-7.141882591437519,-18.257855228014773,16.81422241806967,77,10,67,0.212707182320442,non_christian,-2.7249311645713563,2.5702696119399207,174,18459,78,non_christian
naive_bayes,ennius,-16.67568073972746,-2.558201022571827,-19.130894603580614,16.67568073972746,27,4,23,0.07458563535911603,non_christian,-2.7022051341287767,2.546173979282347,181,18452,85,non_christian
naive_bayes,uarro,-16.5011968445655,-7.416268244748539,-18.31818256452889,16.5011968445655,24,4,20,0.06629834254143646,non_christian,-2.673583232325364,2.5158271559090917,185,18450,87,non_christian
naive_bayes,praepositio,-15.972998061287434,-3.0915480118620837,-22.413723086000108,15.972998061287434,9,3,6,0.024861878453038673,non_christian,-2.5869388248651024,2.423961054643822,194,18446,91,non_christian
naive_bayes,poeni,-15.566861920246897,-2.7985369744264097,-16.887723121538674,15.566861920246897,32,3,29,0.08839779005524862,non_christian,-2.520317267976491,2.3533244968903855,207,18441,96,non_christian
