"lemma","delta","mu_ch","mu_nc","mean_abs_shap","cnt_ch","cnt_nc","df_ch","df_nc","docfreq","df_rate_ch","df_rate_nc","log_odds","rare"
"utor",0.091595049714407,0.0206407755141268,-0.0709542742002802,0.161528189682397,569,908,76,76,152,0.367149758454106,0.484076433121019,-0.980308086426314,FALSE
"flexus",0.0895691497289295,0.0392302737662211,-0.0503388759627084,0.102762189691889,98,45,46,7,53,0.222222222222222,0.0445859872611465,0.259072240743814,FALSE
"fauor",0.0864155098570186,0.0205000603514169,-0.0659154495056017,0.108256030352594,158,58,47,15,62,0.227053140096618,0.0955414012738854,0.4834558576022,FALSE
"cerno",0.0760477427617633,0.0366514082691999,-0.0393963344925635,0.10043420682659,660,181,96,34,130,0.463768115942029,0.21656050955414,0.77846948878015,FALSE
"suscipio",0.0747153096172856,0.0503082021213061,-0.0244071074959795,0.0892116790073758,522,163,89,30,119,0.429951690821256,0.191082802547771,0.648540012024333,FALSE
"ludus",0.0714173120120335,0.0169504034121951,-0.0544669085998384,0.08154370320391,149,240,39,52,91,0.188405797101449,0.331210191082803,-0.9886956781924,FALSE
"pius",0.0684237977268303,0.0416838579216997,-0.0267399398051306,0.0847853656559643,602,129,99,32,131,0.478260869565217,0.203821656050955,1.02413480274789,FALSE
"fluctus",0.0679309301857842,0.0123225782885639,-0.0556083518972203,0.0926051043822039,338,165,71,36,107,0.342995169082126,0.229299363057325,0.202280916057887,FALSE
"deus",-0.00427445655242017,-0.0220494428821202,-0.0177749863297,0.0552117211067283,5737,1334,147,93,240,0.710144927536232,0.592356687898089,0.945194904046897,FALSE
"pars",-0.00165705219296753,-0.00368587085598285,-0.00202881866301532,0.0230468276132895,3102,1419,131,82,213,0.632850241545894,0.522292993630573,0.268631559688412,FALSE
"confundo",-0.000551400605265296,0.000274522779184714,0.00082592338445001,0.00559077438576102,177,84,58,25,83,0.280193236714976,0.159235668789809,0.228947093075018,FALSE
"poena",-0.000381300683369923,0.00075834536757388,0.0011396460509438,0.00368604805298408,670,387,97,51,148,0.468599033816425,0.32484076433121,0.0350358724510069,FALSE
"cano",-0.000371635241146594,-0.0020274946453922,-0.0016558594042456,0.00582127409946298,340,154,79,44,123,0.381642512077295,0.280254777070064,0.276949047774442,FALSE
"plaga",-0.000332647426610308,0.000325445446014815,0.000658092872625123,0.00556824574232593,172,97,57,29,86,0.27536231884058,0.184713375796178,0.0572728769902882,FALSE
"ordo",-0.000179668515015793,0.000633743321221911,0.000813411836237704,0.00259053823096685,729,418,95,52,147,0.458937198067633,0.331210191082803,0.0424104965559857,FALSE
"debeo",-0.000176997299072029,0.000400226138295797,0.000577223437367826,0.0021080565665075,1589,836,104,65,169,0.502415458937198,0.414012738853503,0.128676278446654,FALSE
"astrum",-0.000172697462376616,0.00122190666031535,0.00139460412269197,0.00386849435975608,299,168,61,27,88,0.294685990338164,0.171974522292994,0.061906686285763,FALSE
"luna",-0.000165395468067761,0.00142482432123036,0.00159021978929812,0.00535223929286898,763,95,68,32,100,0.328502415458937,0.203821656050955,1.56551489569468,FALSE
"gurges",-9.67216074604936e-05,0.000551116592039622,0.000647838199500115,0.00159700499259475,283,84,45,16,61,0.217391304347826,0.101910828025478,0.697188607327354,FALSE
"genetrix",-7.08625816138483e-05,0.00174828638736242,0.00181914896897627,0.00579898074062144,125,45,40,12,52,0.193236714975845,0.0764331210191083,0.501321451137609,FALSE
"praesumo",-4.12179763682458e-05,9.30320614451499e-05,0.000134250037813396,0.000303269869592849,142,9,40,9,49,0.193236714975845,0.0573248407643312,2.19477821962489,FALSE
"uirgo",-2.13194228625621e-05,2.98709729945669e-05,5.1190395857129e-05,0.000171761002169968,387,188,81,45,126,0.391304347826087,0.286624203821656,0.207345860428011,FALSE
"imus",-1.36757970209825e-05,1.03146691847092e-05,2.39904662056917e-05,7.11379750004167e-05,207,84,67,23,90,0.323671497584541,0.146496815286624,0.3851078238303,FALSE
"gero",-1.33904164414332e-05,8.20750929769625e-06,2.15979257391295e-05,8.67768605252376e-05,910,511,106,70,176,0.51207729468599,0.445859872611465,0.0633743322986567,FALSE
"uro",-9.86744847675438e-06,4.87526396964383e-05,5.86200881731926e-05,0.00016378234827298,155,97,55,32,87,0.265700483091787,0.203821656050955,-0.0464786278618374,FALSE
"curro",-8.09991131070114e-06,3.2629355964807e-06,1.13628469071818e-05,6.62187831799234e-05,433,117,74,46,120,0.357487922705314,0.292993630573248,0.792181481159058,FALSE
"testimonium",-7.88268205735206e-06,-8.98604822735072e-05,-8.19778002161551e-05,0.000379533326425129,204,133,37,22,59,0.178743961352657,0.140127388535032,-0.0868054838347726,FALSE
"facile",-5.55190807908837e-06,-4.7352302955299e-06,8.16677783558473e-07,4.75549937008718e-05,420,404,58,52,110,0.280193236714976,0.331210191082803,-0.474479238562868,FALSE
