time,step,detail
2026-03-29 01:10:05,lgb_inner_fold,outer 1 candidate 8 of 8 fold 5 of 5
2026-03-29 01:10:06,outer_fold_done,fold 1 of 5
2026-03-29 01:10:06,outer_fold_start,fold 2 of 5
2026-03-29 01:10:11,fit_nb,outer fold 2
2026-03-29 01:10:11,fit_ridge,outer fold 2
2026-03-29 01:10:13,tune_svm,outer fold 2
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 0.25 fold 1 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 0.25 fold 2 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 0.25 fold 3 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 0.25 fold 4 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 0.25 fold 5 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 1 fold 1 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 1 fold 2 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 1 fold 3 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 1 fold 4 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 1 fold 5 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 4 fold 1 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 4 fold 2 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 4 fold 3 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 4 fold 4 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 4 fold 5 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 16 fold 1 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 16 fold 2 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 16 fold 3 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 16 fold 4 of 5
2026-03-29 01:10:13,svm_inner_fold,outer 2 cost 16 fold 5 of 5
2026-03-29 01:10:13,tune_xgb,outer fold 2
2026-03-29 01:10:13,xgb_inner_fold,outer 2 candidate 1 of 8 fold 1 of 5
2026-03-29 01:10:16,xgb_inner_fold,outer 2 candidate 1 of 8 fold 2 of 5
2026-03-29 01:10:18,xgb_inner_fold,outer 2 candidate 1 of 8 fold 3 of 5
2026-03-29 01:10:21,xgb_inner_fold,outer 2 candidate 1 of 8 fold 4 of 5
2026-03-29 01:10:23,xgb_inner_fold,outer 2 candidate 1 of 8 fold 5 of 5
2026-03-29 01:10:25,xgb_inner_fold,outer 2 candidate 2 of 8 fold 1 of 5
2026-03-29 01:10:27,xgb_inner_fold,outer 2 candidate 2 of 8 fold 2 of 5
2026-03-29 01:10:29,xgb_inner_fold,outer 2 candidate 2 of 8 fold 3 of 5
2026-03-29 01:10:31,xgb_inner_fold,outer 2 candidate 2 of 8 fold 4 of 5
2026-03-29 01:10:32,xgb_inner_fold,outer 2 candidate 2 of 8 fold 5 of 5
2026-03-29 01:10:33,xgb_inner_fold,outer 2 candidate 3 of 8 fold 1 of 5
2026-03-29 01:10:36,xgb_inner_fold,outer 2 candidate 3 of 8 fold 2 of 5
2026-03-29 01:10:39,xgb_inner_fold,outer 2 candidate 3 of 8 fold 3 of 5
2026-03-29 01:10:42,xgb_inner_fold,outer 2 candidate 3 of 8 fold 4 of 5
2026-03-29 01:10:44,xgb_inner_fold,outer 2 candidate 3 of 8 fold 5 of 5
2026-03-29 01:10:46,xgb_inner_fold,outer 2 candidate 4 of 8 fold 1 of 5
2026-03-29 01:10:48,xgb_inner_fold,outer 2 candidate 4 of 8 fold 2 of 5
2026-03-29 01:10:49,xgb_inner_fold,outer 2 candidate 4 of 8 fold 3 of 5
2026-03-29 01:10:51,xgb_inner_fold,outer 2 candidate 4 of 8 fold 4 of 5
2026-03-29 01:10:53,xgb_inner_fold,outer 2 candidate 4 of 8 fold 5 of 5
2026-03-29 01:10:54,xgb_inner_fold,outer 2 candidate 5 of 8 fold 1 of 5
2026-03-29 01:10:55,xgb_inner_fold,outer 2 candidate 5 of 8 fold 2 of 5
2026-03-29 01:10:57,xgb_inner_fold,outer 2 candidate 5 of 8 fold 3 of 5
2026-03-29 01:10:58,xgb_inner_fold,outer 2 candidate 5 of 8 fold 4 of 5
2026-03-29 01:10:59,xgb_inner_fold,outer 2 candidate 5 of 8 fold 5 of 5
2026-03-29 01:11:01,xgb_inner_fold,outer 2 candidate 6 of 8 fold 1 of 5
2026-03-29 01:11:02,xgb_inner_fold,outer 2 candidate 6 of 8 fold 2 of 5
2026-03-29 01:11:03,xgb_inner_fold,outer 2 candidate 6 of 8 fold 3 of 5
2026-03-29 01:11:05,xgb_inner_fold,outer 2 candidate 6 of 8 fold 4 of 5
2026-03-29 01:11:06,xgb_inner_fold,outer 2 candidate 6 of 8 fold 5 of 5
2026-03-29 01:11:07,xgb_inner_fold,outer 2 candidate 7 of 8 fold 1 of 5
2026-03-29 01:11:09,xgb_inner_fold,outer 2 candidate 7 of 8 fold 2 of 5
2026-03-29 01:11:11,xgb_inner_fold,outer 2 candidate 7 of 8 fold 3 of 5
2026-03-29 01:11:13,xgb_inner_fold,outer 2 candidate 7 of 8 fold 4 of 5
2026-03-29 01:11:15,xgb_inner_fold,outer 2 candidate 7 of 8 fold 5 of 5
2026-03-29 01:11:16,xgb_inner_fold,outer 2 candidate 8 of 8 fold 1 of 5
2026-03-29 01:11:18,xgb_inner_fold,outer 2 candidate 8 of 8 fold 2 of 5
2026-03-29 01:11:18,xgb_inner_fold,outer 2 candidate 8 of 8 fold 3 of 5
2026-03-29 01:11:20,xgb_inner_fold,outer 2 candidate 8 of 8 fold 4 of 5
2026-03-29 01:11:21,xgb_inner_fold,outer 2 candidate 8 of 8 fold 5 of 5
2026-03-29 01:11:23,tune_lgb,outer fold 2
2026-03-29 01:11:23,lgb_inner_fold,outer 2 candidate 1 of 8 fold 1 of 5
2026-03-29 01:11:23,lgb_inner_fold,outer 2 candidate 1 of 8 fold 2 of 5
2026-03-29 01:11:24,lgb_inner_fold,outer 2 candidate 1 of 8 fold 3 of 5
2026-03-29 01:11:25,lgb_inner_fold,outer 2 candidate 1 of 8 fold 4 of 5
2026-03-29 01:11:25,lgb_inner_fold,outer 2 candidate 1 of 8 fold 5 of 5
2026-03-29 01:11:26,lgb_inner_fold,outer 2 candidate 2 of 8 fold 1 of 5
2026-03-29 01:11:26,lgb_inner_fold,outer 2 candidate 2 of 8 fold 2 of 5
2026-03-29 01:11:26,lgb_inner_fold,outer 2 candidate 2 of 8 fold 3 of 5
2026-03-29 01:11:26,lgb_inner_fold,outer 2 candidate 2 of 8 fold 4 of 5
2026-03-29 01:11:27,lgb_inner_fold,outer 2 candidate 2 of 8 fold 5 of 5
2026-03-29 01:11:27,lgb_inner_fold,outer 2 candidate 3 of 8 fold 1 of 5
2026-03-29 01:11:27,lgb_inner_fold,outer 2 candidate 3 of 8 fold 2 of 5
2026-03-29 01:11:27,lgb_inner_fold,outer 2 candidate 3 of 8 fold 3 of 5
2026-03-29 01:11:28,lgb_inner_fold,outer 2 candidate 3 of 8 fold 4 of 5
2026-03-29 01:11:29,lgb_inner_fold,outer 2 candidate 3 of 8 fold 5 of 5
2026-03-29 01:11:29,lgb_inner_fold,outer 2 candidate 4 of 8 fold 1 of 5
2026-03-29 01:11:29,lgb_inner_fold,outer 2 candidate 4 of 8 fold 2 of 5
2026-03-29 01:11:29,lgb_inner_fold,outer 2 candidate 4 of 8 fold 3 of 5
2026-03-29 01:11:30,lgb_inner_fold,outer 2 candidate 4 of 8 fold 4 of 5
2026-03-29 01:11:30,lgb_inner_fold,outer 2 candidate 4 of 8 fold 5 of 5
2026-03-29 01:11:30,lgb_inner_fold,outer 2 candidate 5 of 8 fold 1 of 5
2026-03-29 01:11:31,lgb_inner_fold,outer 2 candidate 5 of 8 fold 2 of 5
2026-03-29 01:11:31,lgb_inner_fold,outer 2 candidate 5 of 8 fold 3 of 5
2026-03-29 01:11:32,lgb_inner_fold,outer 2 candidate 5 of 8 fold 4 of 5
2026-03-29 01:11:32,lgb_inner_fold,outer 2 candidate 5 of 8 fold 5 of 5
2026-03-29 01:11:33,lgb_inner_fold,outer 2 candidate 6 of 8 fold 1 of 5
2026-03-29 01:11:33,lgb_inner_fold,outer 2 candidate 6 of 8 fold 2 of 5
2026-03-29 01:11:33,lgb_inner_fold,outer 2 candidate 6 of 8 fold 3 of 5
2026-03-29 01:11:33,lgb_inner_fold,outer 2 candidate 6 of 8 fold 4 of 5
2026-03-29 01:11:33,lgb_inner_fold,outer 2 candidate 6 of 8 fold 5 of 5
2026-03-29 01:11:34,lgb_inner_fold,outer 2 candidate 7 of 8 fold 1 of 5
2026-03-29 01:11:34,lgb_inner_fold,outer 2 candidate 7 of 8 fold 2 of 5
2026-03-29 01:11:34,lgb_inner_fold,outer 2 candidate 7 of 8 fold 3 of 5
2026-03-29 01:11:35,lgb_inner_fold,outer 2 candidate 7 of 8 fold 4 of 5
2026-03-29 01:11:35,lgb_inner_fold,outer 2 candidate 7 of 8 fold 5 of 5
2026-03-29 01:11:35,lgb_inner_fold,outer 2 candidate 8 of 8 fold 1 of 5
2026-03-29 01:11:36,lgb_inner_fold,outer 2 candidate 8 of 8 fold 2 of 5
2026-03-29 01:11:36,lgb_inner_fold,outer 2 candidate 8 of 8 fold 3 of 5
2026-03-29 01:11:36,lgb_inner_fold,outer 2 candidate 8 of 8 fold 4 of 5
2026-03-29 01:11:36,lgb_inner_fold,outer 2 candidate 8 of 8 fold 5 of 5
2026-03-29 01:11:37,outer_fold_done,fold 2 of 5
2026-03-29 01:11:37,outer_fold_start,fold 3 of 5
2026-03-29 01:11:42,fit_nb,outer fold 3
2026-03-29 01:11:42,fit_ridge,outer fold 3
2026-03-29 01:11:44,tune_svm,outer fold 3
2026-03-29 01:11:44,svm_inner_fold,outer 3 cost 0.25 fold 1 of 5
2026-03-29 01:11:44,svm_inner_fold,outer 3 cost 0.25 fold 2 of 5
2026-03-29 01:11:44,svm_inner_fold,outer 3 cost 0.25 fold 3 of 5
2026-03-29 01:11:44,svm_inner_fold,outer 3 cost 0.25 fold 4 of 5
2026-03-29 01:11:44,svm_inner_fold,outer 3 cost 0.25 fold 5 of 5
2026-03-29 01:11:45,svm_inner_fold,outer 3 cost 1 fold 1 of 5
